2
142 80
-1.77778	-1	0	0	0
-1.75256	-1	0	0	0
-1.72735	-1	0	0	0
-1.70213	-1	0	0	0
-1.67691	-1	0	0	0
-1.6517	-1	0	0	0
-1.62648	-1	0	0	0
-1.60126	-1	0	0	0
-1.57605	-1	0	0	0
-1.55083	-1	0	0	0
-1.52561	-1	-0.220526	0.218704	0
-1.5004	-1	-0.125717	0.220191	0
-1.47518	-1	-0.0757228	0.222001	0
-1.44996	-1	-0.0380742	0.223708	0
-1.42475	-1	-0.00706362	0.225304	0
-1.39953	-1	0.0196264	0.2268	0
-1.37431	-1	0.0432135	0.228207	0
-1.3491	-1	0.0644332	0.229534	0
-1.32388	-1	0.0837709	0.230788	1
-1.29866	-1	0.101568	0.231977	1
-1.27345	-1	0.118074	0.233104	1
-1.24823	-1	0.133481	0.234175	1
-1.22301	-1	0.147938	0.235194	1
-1.1978	-1	0.161565	0.236163	1
-1.17258	-1	0.17446	0.237087	1
-1.14736	-1	0.186705	0.237968	1
-1.12214	-1	0.198367	0.238808	1
-1.09693	-1	0.209505	0.239609	1
-1.07171	-1	0.220169	0.240374	1
-1.04649	-1	0.230402	0.241105	1
-1.02128	-1	0.240243	0.241803	1
-0.996061	-1	0.249724	0.24247	1
-0.970844	-1	0.258875	0.243107	1
-0.945628	-1	0.267723	0.243716	1
-0.920411	-1	0.276291	0.244298	1
-0.895194	-1	0.2846	0.244853	1
-0.869977	-1	0.292669	0.245384	1
-0.844761	-1	0.300517	0.245891	1
-0.819544	-1	0.308158	0.246376	1
-0.794327	-1	0.315607	0.246838	1
-0.76911	-1	0.322877	0.247279	1
-0.743894	-1	0.329981	0.2477	1
-0.718677	-1	0.33693	0.248101	1
-0.69346	-1	0.343733	0.248483	1
-0.668244	-1	0.350402	0.248847	1
-0.643027	-1	0.356944	0.249193	1
-0.61781	-1	0.363369	0.249521	1
-0.592593	-1	0.369683	0.249833	1
-0.567377	-1	0.375895	0.250129	1
-0.54216	-1	0.38201	0.250409	1
-0.516943	-1	0.388036	0.250674	1
-0.491726	-1	0.393979	0.250924	1
-0.46651	-1	0.399844	0.251159	1
-0.441293	-1	0.405637	0.25138	1
-0.416076	-1	0.411363	0.251588	1
-0.390859	-1	0.417027	0.251781	1
-0.365643	-1	0.422634	0.251961	1
-0.340426	-1	0.428188	0.252129	1
-0.315209	-1	0.433694	0.252283	1
-0.289992	-1	0.439155	0.252424	1
-0.264776	-1	0.444577	0.252554	1
-0.239559	-1	0.449962	0.252671	1
-0.214342	-1	0.455314	0.252775	1
-0.189126	-1	0.460638	0.252868	1
-0.163909	-1	0.465936	0.252949	1
-0.138692	-1	0.471213	0.253018	1
-0.113475	-1	0.476472	0.253076	1
-0.0882586	-1	0.481716	0.253122	1
-0.0630418	-1	0.486948	0.253156	1
-0.0378251	-1	0.492172	0.253179	1
-0.0126084	-1	0.497391	0.25319	1
0.0126084	-1	0.502609	0.25319	1
0.0378251	-1	0.507828	0.253179	1
0.0630418	-1	0.513052	0.253156	1
0.0882586	-1	0.518284	0.253122	1
0.113475	-1	0.523528	0.253076	1
0.138692	-1	0.528787	0.253018	1
0.163909	-1	0.534064	0.252949	1
0.189126	-1	0.539362	0.252868	1
0.214342	-1	0.544686	0.252775	1
0.239559	-1	0.550038	0.252671	1
0.264776	-1	0.555423	0.252554	1
0.289992	-1	0.560845	0.252424	1
0.315209	-1	0.566306	0.252283	1
0.340426	-1	0.571812	0.252129	1
0.365643	-1	0.577366	0.251961	1
0.390859	-1	0.582973	0.251781	1
0.416076	-1	0.588637	0.251588	1
0.441293	-1	0.594363	0.25138	1
0.46651	-1	0.600156	0.251159	1
0.491726	-1	0.606021	0.250924	1
0.516943	-1	0.611964	0.250674	1
0.54216	-1	0.61799	0.250409	1
0.567377	-1	0.624105	0.250129	1
0.592593	-1	0.630317	0.249833	1
0.61781	-1	0.636631	0.249521	1
0.643027	-1	0.643056	0.249193	1
0.668244	-1	0.649598	0.248847	1
0.69346	-1	0.656267	0.248483	1
0.718677	-1	0.66307	0.248101	1
0.743894	-1	0.670019	0.2477	1
0.76911	-1	0.677123	0.247279	1
0.794327	-1	0.684393	0.246838	1
0.819544	-1	0.691842	0.246376	1
0.844761	-1	0.699483	0.245891	1
0.869977	-1	0.707331	0.245384	1
0.895194	-1	0.7154	0.244853	1
0.920411	-1	0.723709	0.244298	1
0.945628	-1	0.732277	0.243716	1
0.970844	-1	0.741125	0.243107	1
0.996061	-1	0.750276	0.24247	1
1.02128	-1	0.759757	0.241803	1
1.04649	-1	0.769598	0.241105	1
1.07171	-1	0.779831	0.240374	1
1.09693	-1	0.790495	0.239609	1
1.12214	-1	0.801633	0.238808	1
1.14736	-1	0.813295	0.237968	1
1.17258	-1	0.82554	0.237087	1
1.1978	-1	0.838435	0.236163	1
1.22301	-1	0.852062	0.235194	1
1.24823	-1	0.866519	0.234175	1
1.27345	-1	0.881926	0.233104	1
1.29866	-1	0.898432	0.231977	1
1.32388	-1	0.916229	0.230788	1
1.3491	-1	0.935567	0.229534	0
1.37431	-1	0.956787	0.228207	0
1.39953	-1	0.980374	0.2268	0
1.42475	-1	1.00706	0.225304	0
1.44996	-1	1.03807	0.223708	0
1.47518	-1	1.07572	0.222001	0
1.5004	-1	1.12572	0.220191	0
1.52561	-1	1.22053	0.218704	0
1.55083	-1	1.22053	0.218704	0
1.57605	-1	1.22053	0.218704	0
1.60126	-1	1.22053	0.218704	0
1.62648	-1	1.22053	0.218704	0
1.6517	-1	1.22053	0.218704	0
1.67691	-1	1.22053	0.218704	0
